"Name"	"Area_m2"	"d_m"
"21665"	3755274.95671676	2186.633159962
"21706"	40785045.5073611	7206.18711759522
"21708"	20826519.258561	5149.48035234511
"21772"	362117.956306354	679.016127811358
"21788"	37611.1944258337	218.833407110738
"21790"	8838.94341099339	106.085306638352
"21807"	102675454.93666	11433.7417103514
"21816"	431618.413269599	741.318846388447
"21818"	57405.7976451392	270.354085707718
"21828"	112509.590694755	378.486010355111
"21830"	594231.860441452	869.827283692345
"219"	5557.03145173517	84.1155883037518
"21917"	116048.666037096	384.39270377076
"21919"	116048.666037096	384.39270377076
"22087"	2648.25657427355	58.0677620971393
"221"	2442730.92759823	1763.57070007575
"22367"	69375.7971524138	297.207012672949
"22373"	204575.801258257	510.366535009785
"22376"	8432.70278879204	103.61877561373
"22400"	98293.4889465663	353.767094451642
"225"	8966.37187380455	106.847270636779
"22636"	2826158.40502725	1896.93875519647
"22638"	432621.350788341	742.17963574896
"22644"	607195.898847909	879.264368557131
"22646"	269531.018319702	585.813580465136
"2265"	77213.0987510135	313.545484262382
"22652"	1239630.23228522	1256.32250341812
"2266"	54284.2586420382	262.900864889552
"22660"	5613.07875054704	84.538712037203
"22664"	6497634.48765574	2876.29017606331
"2267"	10740.0644197959	116.938764882682
"22674"	6497634.48765574	2876.29017606331
"22678"	27635.6552179924	187.581473147575
"2270"	956467.130463357	1103.54509366193
"22709"	25033.5454138929	178.532069852707
"22711"	530829.629617242	822.115123292226
"22723"	14446.1902572481	135.622493364103
"22732"	15745.0443645979	141.588181422799
"22757"	75871.2739048815	310.809115447292
"22786"	194487.085253365	497.622997745143
"22788"	187684.932893058	488.843408987384
"22793"	15076.218293777	138.548321233772
"22801"	10080691.5994618	3582.61569006701
"22810"	5523.17411189269	83.8589511723065
"22817"	3460120.90687004	2098.94325035048
"22828"	26059.5426429722	182.153891560802
"22835"	98672.2538867065	354.44804360682
"22842"	10697.6484789902	116.707622198065
"22849"	36219.2548732761	214.745867446843
"22874"	643.050445480335	28.6139346550789
"22876"	9706.9874040772	111.172479612165
"2289"	27078.9170079145	185.682384633218
"22894"	4763.84807023095	77.8814467516387
"22908"	647290.723830551	907.830461331467
"2292"	66192.415017055	290.308112806439
"22923"	16072258.3806107	4523.69704372372
"22942"	175362.897562313	472.524047912567
"22944"	175362.897562313	472.524047912567
"22960"	57205.1894992826	269.881287670256
"22969"	36968.9187872635	216.956883564561
"2297"	7979.47926939553	100.795776460072
"22982"	2117959.28113509	1642.15392423489
"22988"	75720.8946770853	310.500945997901
"22992"	41337.69330155	229.418364129089
"23000"	49168.9545218997	250.207628322095
"2302"	157689.615267064	448.081079663156
"2311"	37402.0286366676	218.224063552859
"2314"	231421.687022479	542.821557628605
"2318"	82157.308657991	323.428406718344
